STATE,COUNTRY|Asia/Yangon
,|Asia/Seoul
Ontario,Canada|America/Nipigon
Quebec,Canada|America/Toronto
Yukon,Canada|America/Whitehorse
Newfoundland,Canada|America/St_Johns
California,United States|America/Los_Angeles
Oregon,United States|America/Los_Angeles
National Capital Region,Philippines|Asia/Manila
Texas,United States|America/Chicago
Tennessee,United States|America/Chicago
Arizona,United States|America/Phoenix
Michigan,United States|America/Detroit
Washington,United States|America/New_York
Kentucky,United States|America/New_York
Maryland,United States|America/New_York
Nevada,United States|America/Los_Angeles
North Carolina,United States|America/New_York
Alabama,United States|America/Chicago
South Carolina,United States|America/New_York
Connecticut,United States|America/New_York
Florida,United States|America/New_York
Georgia,United States|America/New_York
Colorado,United States|America/Denver
Wyoming,United States|America/Denver
New Mexico,United States|America/Denver
Minnesota,United States|America/Chicago
Maine,United States|America/New_York
New York,United States|America/New_York
New Jersey,United States|America/New_York
Kansas,United States|America/Chicago
Delaware,United States|America/New_York
Virginia,United States|America/New_York
Illinois,United States|America/Chicago
Indiana,United States|America/Indiana/Indianapolis
Missouri,United States|America/Chicago
Vermont,United States|America/New_York
Arkansas,United States|America/Chicago
Massachusetts,United States|America/New_York
Pennsylvania,United States|America/New_York
New Hampshire,United States|America/New_York
Mississippi,United States|America/Chicago
Ohio,United States|America/New_York
,U.S. Virgin Islands|America/St_Thomas
Hawaii,United States|Pacific/Honolulu
Louisiana,United States|America/Chicago
,Greece|Europe/Athens
Peloponnisos,Greece|Europe/Athens
Anatoliki Makedonia kai Thraki,Greece|Europe/Athens
Dytiki Makedonia / Kentriki Makedonia,Greece|Europe/Athens
Kriti,Greece|Europe/Athens
Attiki / Sterea Ellada / Dytiki Ellada,Greece|Europe/Athens
Ipeiros,Greece|Europe/Athens
Thessalia,Greece|Europe/Athens
Dodecanese,Greece|Europe/Athens
Ionian Islands,Greece|Europe/Athens
,Netherlands|Europe/Amsterdam
Noord-Holland,Netherlands|Europe/Amsterdam
Groningen / Drenthe / Friesland,Netherlands|Europe/Amsterdam
Noord-Brabant,Netherlands|Europe/Amsterdam
Gelderland,Netherlands|Europe/Amsterdam
Utrecht,Netherlands|Europe/Amsterdam
Zuid-Holland,Netherlands|Europe/Amsterdam
Overijssel / Flevoland,Netherlands|Europe/Amsterdam
Limburg,Netherlands|Europe/Amsterdam
Zeeland,Netherlands|Europe/Amsterdam
West-Vlaanderen,Belgium|Europe/Brussels
,Belgium|Europe/Brussels
Antwerp,Belgium|Europe/Brussels
Hainaut,Belgium|Europe/Brussels
Limburg,Belgium|Europe/Brussels
Wal. Brabant,Belgium|Europe/Brussels
Namur,Belgium|Europe/Brussels
Oost-Vlaanderen,Belgium|Europe/Brussels
Vlaams Brabant,Belgium|Europe/Brussels
Liege,Belgium|Europe/Brussels
Luxemburg,Belgium|Europe/Brussels
Brussels,Belgium|Europe/Brussels
,France|Europe/Paris
Occitanie,France|Europe/Paris
Nouvelle-Aquitaine,France|Europe/Paris
,Corsica|Europe/Paris
Grand Est,France|Europe/Paris
Île-de-France,France|Europe/Paris
Centre-Val de Loire,France|Europe/Paris
Auvergne-Rhône-Alpes,France|Europe/Paris
Normandie,France|Europe/Paris
Provence-Alpes-Côte d Azur,France|Europe/Paris
Hauts-de-France,France|Europe/Paris
Pays de la Loire,France|Europe/Paris
